BHR5923TY;Appliances > Cleaning appliances > Accessories;R 143;R 209;;;Xiaomi Mi Robot Vacuum Mop Filter - Mop Pro|2S|2 Pro|2 Lite;Xiaomi;Product URL;6 Months;;;66;https://www.syntech.co.za/product/xiaomi-robot-vacuum-mop-p-2-pro-2-lite-filter/;Product URL;Motherboards;;;;;;;;;;;;;;;;;;
BHR6464GL;Appliances > Cleaning appliances > Accessories;R 146;R 209;;;Xiaomi Robot Vacuum Filter - S10|S12|T12|X20|S40 Pro;Xiaomi;Product URL;6 Months;;;67;https://www.syntech.co.za/product/xiaomi-robotvac-s10-filter/;Product URL;Motherboards;;;;;;;;;;;;;;;;;;
BHR6463GL;Appliances > Cleaning appliances > Accessories;R 146;R 209;;;Xiaomi Robot Vacuum Mop Pad - S10|S12|T12;Xiaomi;Product URL;6 Months;;;68;https://www.syntech.co.za/product/xiaomi-robotvac-s10-mop-pad/;Product URL;Motherboards;;;;;;;;;;;;;;;;;;
BHR6528GL;Appliances > Cleaning appliances > Accessories;R 152;R 219;;;Xiaomi Robot Vacuum Brush - S10|S12|X20|S40C;Xiaomi;Product URL;6 Months;;;69;https://www.syntech.co.za/product/xiaomi-robotvac-s10-brush/;Product URL;Motherboards;;;;;;;;;;;;;;;;;;
BHR08VBGL;Appliances > Cleaning appliances > Accessories;R 152;R 219;;;Xiaomi Robot Vacuum S40 Pro/H50 Pro/H50 Mop Pad;Xiaomi;;6 Months;;;70;;;Motherboards;;;;;;;;;;;;;;;;;;
BHR8510GL;Appliances > Cleaning appliances > Accessories;R 152;R 219;;;Xiaomi Robot Vacuum Mop Pad - X10+|X20;Xiaomi;Product URL;6 Months;;;71;https://www.syntech.co.za/product/xiaomi-robot-vacuum-x10-mop-pad/;Product URL;Motherboards;;;;;;;;;;;;;;;;;;
BHR6557GL;Appliances > Cleaning appliances > Accessories;R 155;R 219;;;Xiaomi Robot Vacuum Brush - X10+|S10+|X20+|S20+|X20 Pro|X20 Max;Xiaomi;Product URL;6 Months;;;72;https://www.syntech.co.za/product/xiaomi-robotvac-x10-s10-brush/;Product URL;Motherboards;;;;;;;;;;;;;;;;;;
BHR6558GL;Appliances > Cleaning appliances > Accessories;R 155;R 219;;;Xiaomi Robot Vacuum Brush Cover - X10+|S10+|X20+|S20+|X20 Pro;Xiaomi;Product URL;6 Months;;;73;https://www.syntech.co.za/product/xiaomi-robotvac-x10-s10-brush-cover/;Product URL;Motherboards;;;;;;;;;;;;;;;;;;
BHR083LGL;Appliances > Cleaning appliances > Accessories;R 158;R 229;;;Xiaomi Robot Vacuum H40/S40 Brush;Xiaomi;;6 Months;;;74;;;Motherboards;;;;;;;;;;;;;;;;;;
BHR08LSGL;Appliances > Cleaning appliances > Accessories;R 167;R 239;;;Xiaomi Robot VacuumH50 Pro/H50/S40 Pro Brush Cover;Xiaomi;;6 Months;;;75;;;Motherboards;;;;;;;;;;;;;;;;;;
BHR5921TY;Appliances > Cleaning appliances > Accessories;R 195;R 279;;;Xiaomi Robot Vacuum Brush Cover - Mop 2 Pro|2 Lite;Xiaomi;Product URL;6 Months;;;76;https://www.syntech.co.za/product/xiaomi-robot-vacuum-mop-2-pro-2-lite-brush-cover/;Product URL;Motherboards;;;;;;;;;;;;;;;;;;
